id,brand,model,reference_number,market_price,case_size,thickness,complications,factory,version,movement,dealer_price,rating,notes,image_url
PP-Calatrava-5227,Patek Philippe,Calatrava,5227,39000,39,8.3,Date,3KF,v2,324 Clone,,4.5,,https://2.bp.blogspot.com/-SiX2v97prl8/UXmP-sODO2I/AAAAAAAAAy0/OL-q0BIh9tY/s1600/Patek+Philippe+5227+Rose+gold+front.gif
PP-Calatrava-5227,Patek Philippe,Calatrava,5227,39000,39,8.3,Date,ZF,,MY9015,,3.5,,https://2.bp.blogspot.com/-SiX2v97prl8/UXmP-sODO2I/AAAAAAAAAy0/OL-q0BIh9tY/s1600/Patek+Philippe+5227+Rose+gold+front.gif
PP-Nautilus-5711,Patek Philippe,Nautilus,5711,100000,40,8.3,Date,3KF,,324 Clone,,4.5,,https://img.chrono24.com/images/uhren/34763465-syomeg51lxzcwtws3krva0ny-ExtraLarge.jpg
PP-Nautilus-5711,Patek Philippe,Nautilus,5711,100000,40,8.3,Date,PPF,v5,MY9015,,3.0,Best dial and OOTB,https://img.chrono24.com/images/uhren/34557939-g59buf9egb3ps0aaau3a4mjp-Square280.jpg
PP-Nautilus-5711_DiW,Patek Philippe,Nautilus,5711 DiW Variants,192000,40,8.3,Date,DiWF,,MY9015,,3.0,,https://www.dealerclocks.io/wp-content/uploads/2022/11/DiW-Carbon-Nautilus-57111A-ROSE-GOLD-BLACK-GRAIL-1-1-1024x1024.jpg
PP-Nautilus-5711_iced_out,Patek Philippe,Nautilus,5711 Iced Out (aka Diamonds),150000,40,8.3,Date,R8F,,MY9015,,3.0,,https://ringladen.b-cdn.net/Patek-Philippe-Nautilus-5711-Iced-Out-40mm8550ak.jpg
PP-Nautilus-5711_iced_out,Patek Philippe,Nautilus,5711 Iced Out (aka Diamonds),150000,40,8.3,Date,DM,v2,MY9015,,2.9,,https://ringladen.b-cdn.net/Patek-Philippe-Nautilus-5711-Iced-Out-40mm8550ak.jpg
PP-Nautilus-5811_blue,Patek Philippe,Nautilus,5811 Blue,190000,41,8.2,Date,3KF,,324 Clone,,4.5,,https://img.chrono24.com/images/uhren/36073858-mjyzrmva4rqav2s9w4atvc7g-Square280.jpg
PP-Nautilus-5811_blue,Patek Philippe,Nautilus,5811 Blue,190000,41,8.2,Date,PPF,,324 Clone,,3.0,,https://img.chrono24.com/images/uhren/36073858-mjyzrmva4rqav2s9w4atvc7g-Square280.jpg
PP-Nautilus-5812_all,Patek Philippe,Nautilus,5812 All dial variants,,40,8.3,Date,TWF,,Miyota,,3.0,No good clone yet,https://img.chrono24.com/images/uhren/36073858-mjyzrmva4rqav2s9w4atvc7g-Square280.jpg
